user_id,edad,sesiones_30d,categoria_frecuente,gasto_historico,tiempo_promedio_sesion,descuento_usado,productos_vistos,abandono_carrito,compra
1,56,4,hogar,123.59,656.65,0,18,1,0
2,69,7,moda,84.69,642.55,2,25,1,0
3,46,7,electronica,595.72,240.46,1,15,0,0
4,32,4,hogar,203.28,286.44,0,20,1,0
5,60,4,hogar,271.37,307.05,4,15,1,0
6,25,5,electronica,51.45,539.66,1,13,1,0
7,38,6,moda,743.1,159.29,4,17,0,0
8,56,4,moda,113.89,773.53,3,11,1,0
9,36,5,moda,11.64,727.73,4,24,1,0
10,40,6,electronica,130.38,681.41,1,12,0,0
11,28,5,juguetes,178.2,49.82,0,20,0,0
12,28,4,hogar,418.5,638.64,3,22,0,0
13,41,9,moda,202.93,693.73,3,18,1,0
14,53,5,hogar,380.64,630.06,1,19,1,0
15,57,8,juguetes,224.91,265.41,4,19,1,0
16,41,7,juguetes,6.99,391.12,1,16,1,1
17,20,6,moda,88.98,465.83,1,25,1,0
18,39,5,moda,253.28,388.32,2,18,1,0
19,19,12,belleza,30.66,42.2,2,25,1,0
20,41,6,juguetes,170.84,685.34,4,18,1,0
21,61,3,hogar,139.82,335.03,2,26,1,0
22,47,4,electronica,296.0,426.83,3,16,0,1
23,55,11,belleza,7.14,114.38,1,19,0,0
24,19,2,hogar,44.04,555.82,1,22,1,0
25,38,4,moda,133.18,671.73,1,17,1,0
26,50,4,moda,282.67,39.57,2,16,0,0
27,29,7,juguetes,217.33,85.47,2,27,1,0
28,39,6,electronica,241.55,249.0,2,25,0,0
29,61,4,moda,29.84,577.57,3,7,0,0
30,42,10,belleza,65.31,501.95,4,20,0,0
31,66,1,electronica,13.1,744.71,0,19,0,0
32,44,3,juguetes,66.03,267.33,1,27,0,0
33,59,6,moda,54.93,126.85,3,30,0,0
34,45,5,moda,224.56,97.82,1,19,0,0
35,33,6,electronica,61.37,746.52,2,20,0,0
36,32,6,electronica,396.15,376.52,4,22,0,0
37,64,2,hogar,204.91,401.15,2,20,0,0
38,68,8,belleza,37.45,101.85,4,17,0,0
39,61,8,juguetes,8.57,769.87,0,23,0,0
40,69,0,juguetes,129.47,445.76,2,16,0,0
41,20,6,juguetes,56.45,163.34,3,17,0,0
42,54,2,electronica,48.74,254.52,4,10,1,0
43,68,5,juguetes,115.53,283.88,1,26,0,0
44,24,4,moda,34.77,720.18,2,14,0,0
45,38,5,belleza,23.03,539.89,2,19,0,0
46,26,3,belleza,145.86,276.92,3,26,1,0
47,56,3,juguetes,247.13,769.85,0,22,0,0
48,35,5,moda,238.07,325.75,3,31,0,0
49,21,8,moda,97.96,236.78,4,20,1,0
50,42,5,electronica,5.32,236.43,1,22,0,0
51,31,1,belleza,198.92,370.14,1,13,1,0
52,67,2,hogar,157.96,465.62,1,14,1,0
53,26,3,electronica,5.85,775.94,0,22,0,0
54,43,4,electronica,302.32,683.93,1,22,0,0
55,19,7,belleza,132.52,565.1,3,24,0,0
56,37,4,belleza,78.78,360.71,3,15,0,0
57,45,4,juguetes,11.71,86.18,0,17,1,0
58,64,6,electronica,38.07,171.14,4,18,0,0
59,24,7,electronica,112.87,769.97,3,32,1,0
60,61,6,juguetes,11.59,78.05,3,15,0,0
61,25,6,juguetes,640.01,700.21,4,20,1,0
62,64,8,electronica,3.13,75.1,1,21,1,0
63,52,3,hogar,65.38,563.94,4,19,0,0
64,31,7,hogar,265.69,328.41,1,22,1,0
65,34,5,hogar,23.14,335.98,3,23,0,0
66,53,4,moda,26.72,790.39,2,17,0,0
67,67,4,belleza,169.74,281.62,1,16,1,1
68,57,1,electronica,15.43,667.12,3,20,1,1
69,21,4,juguetes,504.46,431.47,1,18,1,0
70,19,6,belleza,533.2,759.18,2,29,1,0
71,23,9,hogar,182.4,206.29,3,23,1,0
72,59,5,belleza,253.12,551.33,1,22,0,0
73,21,2,electronica,187.73,645.38,4,32,1,0
74,46,4,hogar,82.06,290.99,0,22,0,0
75,35,5,electronica,160.96,728.18,1,17,1,0
76,43,7,moda,654.73,653.78,3,20,1,0
77,61,3,belleza,35.67,509.67,2,20,1,0
78,51,2,juguetes,113.5,540.13,1,16,1,0
79,27,6,moda,324.45,226.05,0,26,1,0
80,53,4,moda,283.62,732.81,3,28,1,0
81,31,6,moda,164.02,580.37,2,20,1,0
82,48,7,hogar,48.23,170.56,1,20,0,0
83,65,5,juguetes,421.16,314.38,3,22,1,0
84,32,8,belleza,490.15,215.28,2,22,1,0
85,25,1,moda,165.36,89.75,3,20,1,0
86,31,2,moda,46.79,575.34,3,26,1,0
87,40,6,juguetes,339.2,401.53,0,19,0,0
88,57,2,belleza,396.18,782.76,1,22,0,0
89,38,5,moda,75.72,554.57,3,25,0,0
90,33,7,belleza,174.52,89.26,2,26,0,0
91,62,5,belleza,96.48,764.97,3,16,1,0
92,35,2,hogar,319.33,366.95,0,15,0,0
93,64,7,moda,5.49,89.9,0,21,0,0
94,41,4,belleza,90.89,309.04,3,26,0,0
95,43,6,juguetes,678.7,458.12,4,24,0,0
