transaction_id,user_id,product_id,quantity
36197,21258,800,4
30229,7873,2998,4
33857,1090,3669,2
37328,23646,2090,1
27485,31497,3900,3
28492,13046,1434,1
10374,29337,517,2
34625,43045,4158,1
14227,36088,3516,3
38743,32008,814,2
12425,42507,1336,3
1370,40986,3884,3
29378,9934,4851,1
31256,2198,880,3
2019,34514,1942,1
37177,29734,4536,2
39150,35322,2338,4
27078,48541,85,1
25441,6940,473,3
10920,6318,4806,1
21296,7990,2147,1
5891,8899,2153,3
17260,8066,2819,3
3382,2804,4579,3
39850,6119,1102,2
13688,35071,653,4
30271,16396,4832,1
24387,14973,4397,4
14323,25447,3127,1
6571,27112,3015,4
18981,8922,1683,3
11593,44025,3072,2
5426,19613,1326,1
1701,49125,1476,3
24849,19011,2327,4
5004,10794,845,4
3645,24983,1417,1
13709,42276,237,1
12744,30973,4937,4
4713,38539,2163,3
38086,26556,254,2
26935,1646,1104,4
16997,36543,2611,3
27209,48619,4891,3
24046,37587,4682,4
738,12515,2661,2
31113,21530,4563,2
456,30468,2623,3
30084,48423,1753,4
32681,36147,1743,2
12628,18749,3359,3
1977,20347,4049,3
26558,27704,3540,3
28788,39889,1112,3
15288,20190,3597,1
37707,26501,1146,2
16211,35824,787,1
20547,39367,2040,2
34652,31891,3258,4
43,30812,1210,3
24251,46485,3952,3
27925,25497,2200,1
12102,40878,226,2
26114,28988,256,1
19335,14124,2134,2
28758,37649,2844,1
3380,45542,1349,2
38419,1923,1003,3
34795,41591,4977,3
18273,33612,2741,1
8304,9978,1208,1
31537,16366,4188,3
35658,33788,2557,3
29417,15140,3934,2
7253,35858,721,2
5340,582,2752,4
29631,10523,3230,3
32968,29770,3868,4
17347,26581,1484,2
22132,29169,452,2
28186,28782,567,3
18805,8848,1147,1
38292,48031,482,2
25464,14003,1494,2
21288,14309,485,3
30887,40669,2751,1
33058,2487,138,4
29515,20825,633,3
37432,24426,2273,4
17321,4947,1062,2
32637,23369,3303,1
10251,25712,1657,4
2068,3171,2296,2
14611,30965,3797,2
12090,48993,4677,3
21530,33314,4313,1
31258,29587,2561,4
11949,14059,1041,1
35550,38591,825,2
6522,44702,3707,4
18376,42275,257,3
2735,13756,4347,1
10406,25823,4239,4
3894,26459,1032,3
20406,37422,4740,3
12242,24415,2539,2
32246,32872,899,3
19568,12313,3722,4
26332,32844,4798,2
30074,9920,516,2
6376,11712,2442,2
23039,26193,2056,3
21346,3754,1998,3
34456,42690,1892,4
1158,18863,985,2
26327,2014,4014,1
60,31526,3841,1
6756,46161,4876,4
6306,11901,2566,2
30602,29029,2037,2
10507,24805,4422,4
22934,26635,1484,3
28277,32187,1060,4
38095,17903,4490,4
28640,47609,1245,3
39039,9760,4065,3
33184,28843,4189,3
1559,36942,2068,4
39140,16145,1592,4
16502,5020,2661,1
18884,7468,4246,3
30525,34303,508,1
17832,9903,1486,1
18626,1920,583,1
2191,15003,134,4
1707,11581,722,2
14767,7548,1462,1
32177,164,3813,4
36613,14309,927,1
4354,14607,4988,1
17102,22786,573,2
17993,24436,4274,3
8257,27177,1723,3
18713,26461,3098,2
7163,16940,2619,1
1098,449,3951,4
14047,27327,4339,2
6728,49791,4008,3
37747,39462,3283,3
19066,48334,3343,2
1229,18896,1264,4
30135,24065,4480,2
34202,3569,3313,4
1442,37033,4064,3
1482,3706,3934,2
20023,21546,3376,4
35939,30861,3577,2
11209,18002,2341,3
17088,43667,4381,1
29217,46811,4923,4
26438,20506,4468,3
20337,9946,1136,3
8915,40895,322,1
20684,15789,3017,2
17453,11064,2417,1
3009,40530,4377,3
7256,46984,439,1
31041,7162,4490,4
5842,6424,4853,4
147,20995,915,4
3334,35649,4844,1
37554,28336,1896,2
39398,18204,1471,3
24615,43233,2351,1
37043,29494,2950,3
9581,48169,64,1
39990,28589,2715,2
13107,19268,4721,3
8503,27124,4358,1
32618,6019,1232,2
17233,6535,2304,1
24226,14863,1152,4
25979,26407,3161,4
26125,29556,2288,2
9378,48061,4394,3
3703,33330,2196,3
29298,33744,3173,1
22221,34030,3866,3
184,15888,4493,4
37059,36550,4320,4
5036,8792,2582,3
1465,10509,2458,2
17485,34756,2520,3
4941,28862,3093,3
27638,1782,4486,4
21269,40205,2383,4
10063,43678,1811,1
23212,16919,869,4
11257,13576,2987,2
33258,28461,4621,2
32549,40076,2880,2
3517,24831,4109,4
34067,38717,3588,1
25473,23856,2559,3
26678,36460,2193,2
20262,3499,3378,1
17092,8216,1663,2
2192,5289,4540,2
26309,5825,2959,3
23294,19551,3286,2
9235,35063,4279,2
21034,41816,2535,1
23103,35410,846,2
29127,17154,3944,2
39689,87,4131,1
37025,42781,3404,1
3993,46363,190,1
11288,20778,1345,3
15753,35068,2735,4
4128,36070,2155,3
7081,48228,3424,1
29925,41902,3612,1
38193,3920,4828,2
14915,29106,2162,2
15778,11987,2457,2
17798,13796,414,4
29721,26152,2857,4
33172,13547,1858,2
6413,5934,2657,2
13396,22151,376,1
36770,29359,465,3
31115,13972,2931,2
384,7007,1153,1
30818,35825,4844,3
12447,6518,2602,4
31697,6712,4469,3
1730,24854,241,2
9467,48041,2921,1
39952,29496,2636,1
3028,33439,3263,3
19377,22604,3582,1
20329,35587,2942,1
15924,9953,2091,4
18222,40084,823,4
8351,28171,3067,4
38642,10259,3935,3
16299,19018,576,1
861,41897,3346,3
4707,4273,2231,4
14381,48592,1918,2
10019,25835,3664,1
28166,9496,3603,1
31570,10885,9,3
32815,28218,1351,1
6500,12328,4462,3
1308,47264,4231,3
33695,34396,1469,4
2449,4100,4997,3
21127,44525,373,4
22393,35674,1670,4
1343,26697,214,3
7660,39650,2838,3
29673,43710,430,3
23653,12356,58,2
12647,28126,3867,4
31729,32263,2529,1
6543,33362,3225,3
12741,19250,2875,1
26066,8294,2766,1
1279,12053,2178,1
37711,3750,4387,3
3753,1541,869,3
38541,17213,4644,3
23944,1068,2972,1
26243,34759,3182,4
28081,12518,4495,4
38635,30606,2562,2
28646,23168,2878,2
16746,40948,1630,1
35284,31757,3399,4
1931,47443,4201,4
8451,24784,3447,2
12325,34379,719,2
2615,45402,33,1
31738,39366,1203,3
24992,2736,3917,4
23903,43082,319,4
37425,11304,525,4
32316,21982,1386,2
30866,23830,4423,3
47,8323,2157,3
752,49379,2443,1
9395,10003,2921,1
11936,15050,2072,1
21475,36622,358,4
5357,44963,2035,1
28577,9349,1547,2
29867,2130,994,2
29622,22354,991,1
35887,17919,1885,3
15948,5574,4665,2
21280,6938,3302,1
29293,41736,4307,3
33030,40027,1543,3
14179,212,2888,2
16074,46168,325,1
16949,47129,4271,3
1768,29006,860,1
2639,7769,2035,1
301,22627,4978,3
27689,4652,4244,2
6704,12461,3710,4
32925,22643,735,1
6313,4879,2660,4
2392,34937,2566,2
31155,1366,177,3
