user_id,grupo,prob_compra_previa,descuento_ofrecido,engagement_score,historial_compras,compra
1,control,0.105,5,0.335,4,0
2,control,0.371,15,0.714,9,0
3,tratamiento,0.226,10,0.963,1,0
4,tratamiento,0.068,5,0.346,1,0
5,tratamiento,0.073,10,0.486,3,1
6,tratamiento,0.231,0,0.797,0,0
7,tratamiento,0.368,5,0.001,14,0
8,tratamiento,0.333,0,0.753,2,1
9,control,0.244,0,0.125,0,1
10,control,0.12,0,0.218,13,0
11,control,0.143,5,0.075,13,0
12,tratamiento,0.065,10,0.803,1,0
13,tratamiento,0.107,5,0.601,13,0
14,tratamiento,0.014,15,0.409,1,0
15,control,0.076,0,0.855,1,0
16,control,0.053,0,0.313,5,0
17,tratamiento,0.228,5,0.476,1,0
18,control,0.372,0,0.474,1,1
19,tratamiento,0.338,15,0.728,2,1
20,tratamiento,0.255,5,0.287,12,0
21,tratamiento,0.19,10,0.504,6,0
22,control,0.04,0,0.931,6,0
23,tratamiento,0.292,10,0.938,7,1
24,tratamiento,0.352,15,0.504,6,1
25,control,0.384,5,0.543,9,0
26,control,0.035,10,0.317,6,0
27,control,0.011,15,0.139,8,0
28,control,0.112,10,0.495,4,0
29,control,0.306,0,0.667,12,0
30,tratamiento,0.353,5,0.901,2,1
31,tratamiento,0.392,10,0.766,5,1
32,control,0.269,5,0.753,6,0
33,control,0.162,5,0.808,9,0
34,control,0.264,0,0.713,9,0
35,tratamiento,0.211,5,0.556,8,1
36,control,0.197,5,0.513,13,1
37,tratamiento,0.32,5,0.687,4,0
38,tratamiento,0.18,0,0.434,0,0
39,control,0.371,15,0.773,6,0
40,tratamiento,0.141,5,0.154,7,0
41,tratamiento,0.156,5,0.893,12,0
42,tratamiento,0.196,10,0.406,12,1
43,control,0.226,0,0.855,6,0
44,control,0.024,0,0.453,6,0
45,control,0.023,10,0.863,9,0
46,tratamiento,0.302,5,0.78,14,0
47,control,0.367,5,0.944,3,0
48,control,0.096,10,0.558,6,0
49,tratamiento,0.249,10,0.234,7,0
50,control,0.054,5,0.457,14,0
51,tratamiento,0.199,5,0.188,14,0
52,control,0.04,0,0.328,14,0
53,control,0.013,15,0.743,9,0
54,control,0.166,5,0.108,12,0
55,tratamiento,0.128,10,0.931,3,0
56,tratamiento,0.2,15,0.685,12,1
57,control,0.334,0,0.454,13,0
58,tratamiento,0.249,0,0.763,4,0
59,tratamiento,0.044,15,0.202,9,0
60,tratamiento,0.381,10,0.173,12,0
61,tratamiento,0.335,10,0.331,9,1
62,tratamiento,0.324,0,0.931,10,1
63,control,0.128,5,0.07,13,1
64,control,0.37,15,0.434,14,0
65,tratamiento,0.126,15,0.442,5,0
66,tratamiento,0.387,10,0.744,1,0
67,control,0.053,15,0.242,8,0
68,control,0.393,15,0.234,4,0
69,control,0.049,5,0.556,11,1
70,tratamiento,0.388,10,0.108,0,1
71,tratamiento,0.245,15,0.301,6,0
72,control,0.093,15,0.281,4,0
73,control,0.339,10,0.879,9,0
74,tratamiento,0.039,15,0.549,12,0
75,control,0.343,0,0.429,1,0
76,tratamiento,0.38,15,0.458,6,1
77,tratamiento,0.156,5,0.289,10,0
78,tratamiento,0.037,5,0.544,8,0
79,control,0.399,15,0.812,0,0
80,control,0.165,0,0.347,4,0
81,tratamiento,0.01,15,0.531,0,0
82,tratamiento,0.273,10,0.079,9,0
83,tratamiento,0.248,10,0.347,4,0
84,tratamiento,0.025,5,0.656,6,0
85,control,0.003,10,0.446,7,0
86,tratamiento,0.281,10,0.621,3,1
87,control,0.366,10,0.035,5,0
88,tratamiento,0.252,10,0.862,12,1
89,control,0.045,15,0.997,11,0
90,tratamiento,0.156,15,0.136,11,0
91,tratamiento,0.371,15,0.53,8,1
92,tratamiento,0.006,5,0.117,1,0
93,tratamiento,0.178,10,0.083,1,0
94,tratamiento,0.29,5,0.679,1,1
95,control,0.052,5,0.019,14,0
96,tratamiento,0.007,5,0.743,10,0
97,control,0.048,5,0.934,4,0
98,control,0.016,15,0.8,13,0
99,tratamiento,0.38,5,0.845,4,0
100,tratamiento,0.09,10,0.759,7,0
101,control,0.018,15,0.556,14,0
102,tratamiento,0.202,15,0.539,8,0
103,control,0.135,10,0.525,4,1
104,control,0.033,10,0.635,1,0
105,control,0.202,5,0.637,9,0
106,tratamiento,0.168,10,0.561,10,0
107,control,0.278,0,0.925,7,0
108,tratamiento,0.02,10,0.011,7,0
109,tratamiento,0.116,10,0.54,4,0
110,tratamiento,0.131,15,0.545,5,0
111,tratamiento,0.391,5,0.791,3,0
112,tratamiento,0.117,5,0.412,13,0
113,control,0.174,10,0.473,10,0
114,control,0.288,15,0.467,10,0
115,control,0.317,0,0.707,11,0
116,control,0.346,10,0.541,0,1
117,control,0.132,10,0.231,10,0
118,control,0.366,10,0.249,2,0
119,tratamiento,0.052,10,0.445,7,0
120,tratamiento,0.165,15,0.078,13,0
121,tratamiento,0.363,0,0.677,9,0
122,control,0.161,15,0.6,4,1
123,tratamiento,0.281,0,0.003,1,0
124,tratamiento,0.208,15,0.907,12,0
125,control,0.003,0,0.736,8,0
126,control,0.006,10,0.677,5,0
127,tratamiento,0.103,5,0.266,2,0
128,control,0.043,5,0.491,4,0
129,tratamiento,0.206,15,0.829,14,0
130,tratamiento,0.009,10,0.19,4,0
131,control,0.087,5,0.152,5,0
132,tratamiento,0.069,0,0.285,1,0
133,tratamiento,0.253,10,0.073,4,0
134,control,0.146,15,0.446,0,0
135,tratamiento,0.242,15,0.068,12,1
136,control,0.224,5,0.686,12,1
137,tratamiento,0.076,0,0.26,2,0
138,control,0.329,10,0.499,0,1
139,tratamiento,0.33,0,0.051,10,0
140,control,0.109,15,0.921,5,0
141,control,0.133,0,0.895,6,0
142,tratamiento,0.006,0,0.846,3,0
143,tratamiento,0.049,15,0.181,9,0
144,tratamiento,0.261,0,0.518,11,0
145,tratamiento,0.362,10,0.92,8,0
146,control,0.008,10,0.922,4,0
147,tratamiento,0.1,15,0.77,12,1
148,tratamiento,0.093,10,0.726,5,0
149,tratamiento,0.031,10,0.801,5,0
150,tratamiento,0.255,10,0.878,5,0
151,control,0.331,0,0.337,14,0
152,tratamiento,0.145,10,0.625,4,0
153,control,0.07,15,0.091,13,0
154,tratamiento,0.159,10,0.491,0,0
155,tratamiento,0.25,0,0.764,8,1
156,control,0.397,0,0.75,6,1
157,control,0.219,10,0.684,0,0
