user_id,registration_date,country,segment
1,2023-11-02,US,returning
2,2022-10-14,ES,vip
3,2023-09-21,US,returning
4,2022-05-31,US,vip
5,2023-09-29,AR,returning
6,2022-03-15,US,vip
7,2022-05-23,CO,new
8,2023-09-11,CO,new
9,2023-08-24,US,vip
10,2023-11-16,CO,vip
11,2023-09-21,AR,vip
12,2022-10-12,MX,returning
13,2023-02-26,ES,vip
14,2023-12-17,US,vip
15,2022-04-22,ES,vip
16,2022-02-24,CO,returning
17,2023-09-03,US,returning
18,2022-12-06,US,new
19,2024-06-08,AR,returning
20,2022-01-28,MX,new
21,2022-02-19,US,new
22,2024-02-26,AR,new
23,2023-02-18,US,new
24,2022-04-11,MX,vip
25,2024-04-29,CO,new
26,2022-08-08,AR,returning
27,2024-02-15,MX,returning
28,2022-12-10,ES,new
29,2022-05-29,US,new
30,2023-09-30,AR,returning
31,2022-07-04,AR,returning
32,2024-02-15,ES,vip
33,2022-05-12,ES,new
34,2022-05-19,AR,vip
35,2023-04-26,ES,vip
36,2022-09-10,CO,vip
37,2023-04-15,US,returning
38,2023-08-19,ES,vip
39,2023-04-19,US,new
40,2023-07-01,AR,vip
41,2022-12-08,MX,returning
42,2023-01-23,US,returning
43,2023-03-20,US,vip
44,2024-03-14,MX,new
45,2024-01-07,AR,new
46,2024-03-27,ES,returning
47,2023-06-13,MX,returning
48,2022-02-24,ES,new
49,2024-05-12,US,returning
50,2022-07-01,MX,new
51,2024-04-10,AR,vip
52,2022-11-17,CO,vip
53,2023-08-05,AR,vip
54,2024-04-14,CO,vip
55,2022-10-25,MX,vip
56,2023-12-27,AR,vip
57,2022-08-13,AR,vip
58,2023-03-05,US,new
59,2022-06-11,US,returning
60,2023-12-04,AR,vip
61,2022-01-10,CO,returning
62,2023-03-03,AR,new
63,2022-08-12,AR,vip
64,2024-03-07,MX,returning
65,2022-01-27,US,new
66,2023-09-14,AR,vip
67,2024-04-10,ES,new
68,2024-03-21,CO,returning
69,2024-03-10,ES,vip
70,2023-08-30,AR,vip
71,2023-03-18,CO,returning
72,2022-04-20,ES,new
73,2022-07-24,US,new
74,2023-09-29,MX,new
75,2023-12-30,AR,returning
76,2024-04-14,CO,returning
77,2023-06-24,CO,returning
78,2023-12-13,AR,new
79,2024-02-09,ES,vip
80,2023-05-20,US,returning
81,2024-02-24,US,returning
82,2022-06-10,AR,vip
83,2024-02-28,AR,vip
84,2023-01-19,AR,vip
85,2024-03-17,MX,new
86,2022-10-31,US,vip
87,2022-04-03,CO,returning
88,2022-07-01,AR,returning
89,2023-09-19,MX,new
90,2022-05-10,AR,returning
91,2024-04-12,CO,vip
92,2023-04-27,MX,returning
93,2023-03-16,AR,vip
94,2022-05-18,US,returning
95,2023-01-31,CO,new
96,2022-02-22,AR,returning
97,2023-11-06,US,vip
98,2023-09-16,AR,returning
99,2023-02-22,ES,vip
100,2022-03-31,US,returning
101,2022-08-09,AR,vip
102,2022-10-13,AR,vip
103,2024-04-21,MX,returning
104,2024-06-04,MX,new
105,2023-10-07,AR,new
106,2022-08-26,CO,vip
107,2022-10-01,ES,returning
108,2023-09-14,AR,returning
109,2022-04-20,US,returning
110,2024-01-22,US,vip
111,2023-02-24,US,returning
112,2022-09-10,US,returning
113,2024-05-10,MX,new
114,2024-04-19,ES,vip
115,2022-12-14,AR,vip
116,2023-08-16,MX,returning
117,2024-02-23,ES,vip
118,2024-05-26,MX,new
119,2023-05-19,CO,returning
120,2024-06-17,CO,new
121,2022-10-15,AR,vip
122,2022-11-13,CO,new
123,2022-01-05,ES,vip
124,2023-01-14,AR,vip
125,2022-01-13,CO,returning
126,2023-05-09,MX,new
127,2023-03-23,MX,vip
128,2023-06-19,AR,vip
129,2022-09-03,ES,vip
130,2023-06-20,ES,vip
131,2023-07-24,CO,returning
132,2023-01-03,AR,returning
133,2022-06-01,ES,vip
134,2024-03-20,US,returning
135,2023-10-04,ES,vip
136,2022-03-22,AR,vip
137,2022-07-18,CO,returning
138,2023-06-18,CO,new
139,2023-05-11,US,returning
140,2023-03-02,MX,returning
141,2023-01-25,MX,returning
142,2023-04-16,US,vip
143,2022-12-27,AR,returning
144,2023-10-26,MX,returning
145,2023-01-27,ES,new
146,2023-01-31,AR,new
147,2022-04-05,AR,returning
148,2023-02-28,US,new
149,2023-02-28,US,vip
150,2022-01-04,CO,returning
151,2024-03-29,ES,new
152,2024-02-14,ES,vip
153,2022-06-30,CO,new
154,2022-01-18,AR,returning
155,2023-12-06,US,new
156,2022-10-09,MX,vip
157,2022-06-06,AR,new
158,2022-01-10,ES,returning
159,2022-08-30,MX,vip
160,2022-12-15,ES,returning
161,2024-05-16,CO,new
162,2024-05-18,ES,returning
163,2024-04-15,MX,vip
164,2023-03-27,CO,vip
165,2023-02-02,MX,returning
166,2023-02-18,MX,returning
167,2022-06-26,AR,new
168,2024-05-30,CO,returning
169,2024-01-09,MX,new
170,2023-01-21,AR,returning
171,2024-02-14,CO,new
172,2022-03-07,US,vip
173,2023-07-30,CO,returning
174,2022-04-03,AR,returning
175,2023-01-02,CO,returning
176,2024-05-22,MX,returning
177,2024-05-22,US,returning
178,2024-02-20,US,new
179,2022-11-26,US,vip
180,2024-03-27,AR,vip
181,2022-12-20,AR,returning
182,2023-06-21,ES,returning
183,2022-04-16,US,vip
184,2022-08-14,CO,new
185,2022-05-10,AR,returning
186,2023-12-25,CO,returning
187,2024-06-01,AR,returning
188,2024-03-12,ES,vip
189,2022-09-03,AR,vip
190,2022-07-23,ES,returning
191,2022-08-22,ES,new
192,2022-09-04,ES,new
193,2023-12-20,MX,new
194,2024-05-04,CO,vip
195,2022-12-28,CO,returning
196,2024-04-29,AR,returning
197,2022-05-14,MX,vip
198,2022-12-02,ES,returning
199,2022-07-30,US,new
200,2023-08-13,CO,new
201,2022-07-07,MX,new
202,2022-05-11,US,returning
203,2023-05-09,MX,new
204,2022-12-23,MX,new
205,2022-03-07,AR,new
206,2024-05-18,US,vip
207,2023-07-08,US,returning
208,2024-04-13,MX,vip
209,2023-02-06,US,new
210,2024-02-15,AR,new
211,2022-01-29,MX,vip
212,2023-03-19,ES,vip
213,2023-06-28,AR,vip
214,2022-12-14,US,new
215,2022-10-05,ES,vip
216,2022-01-17,US,vip
217,2023-01-18,US,returning
218,2022-12-19,ES,returning
219,2023-07-03,AR,returning
220,2022-04-12,AR,vip
221,2022-01-13,US,returning
222,2023-12-19,MX,returning
223,2022-04-27,AR,new
224,2022-03-20,ES,new
225,2022-12-26,CO,new
226,2023-01-29,US,new
227,2023-01-03,CO,new
228,2022-12-13,MX,vip
229,2023-04-05,ES,vip
230,2024-03-13,MX,new
231,2023-03-09,US,returning
232,2022-10-28,AR,vip
233,2023-12-23,MX,returning
234,2023-08-02,US,vip
235,2022-07-21,AR,vip
236,2023-11-16,US,vip
237,2023-05-07,ES,vip
238,2023-09-10,ES,returning
239,2023-04-11,CO,new
240,2024-04-14,US,returning
241,2022-06-30,AR,vip
242,2022-04-12,MX,vip
243,2022-12-09,MX,new
244,2022-01-11,US,returning
245,2022-07-07,US,returning
246,2022-07-07,AR,returning
247,2022-12-08,MX,vip
248,2024-04-08,CO,new
249,2023-05-10,CO,vip
250,2023-11-13,CO,new
251,2023-03-21,MX,returning
252,2023-07-24,ES,new
253,2022-02-07,CO,returning
254,2023-12-21,AR,vip
255,2023-07-04,US,vip
256,2022-04-15,US,vip
257,2024-02-24,AR,vip
258,2023-05-25,AR,new
259,2022-10-07,US,returning
260,2022-12-01,CO,new
261,2023-12-30,MX,new
262,2023-01-14,CO,returning
263,2022-01-15,MX,vip
264,2022-02-13,MX,returning
265,2023-02-20,CO,new
266,2023-10-20,CO,vip
267,2024-02-07,CO,new
268,2022-12-04,AR,vip
269,2023-05-25,ES,vip
270,2023-06-07,MX,new
271,2022-11-05,CO,new
272,2022-08-13,ES,vip
273,2023-01-14,AR,returning
274,2024-05-21,CO,vip
275,2024-06-05,MX,new
276,2024-03-06,MX,returning
277,2022-08-30,CO,new
278,2022-12-11,US,new
279,2023-05-14,ES,vip
280,2023-10-31,US,new
281,2022-01-15,ES,new
282,2022-02-17,ES,vip
283,2023-04-22,US,returning
284,2022-06-15,US,vip
285,2023-12-09,ES,new
286,2022-06-16,US,vip
287,2022-05-24,MX,new
288,2022-11-20,US,vip
289,2023-10-21,US,returning
290,2023-05-26,CO,returning
